Y,M,D,H,G(i),H_sun,T2m,WS10m,Int,,Electric Power (kW)
2020,1,1,0,0,0,6.05,5.66,0,,0.156885875
2020,1,1,1,0,0,6.1,6.62,0,,0.156885875
2020,1,1,2,0,0,6.22,7.45,0,,0.156885875
2020,1,1,3,0,0,6.35,7.72,0,,0.156885875
2020,1,1,4,0,0,6.45,7.79,0,,0.156885875
2020,1,1,5,0,0,6.57,7.79,0,,0.323028597
2020,1,1,6,0,0,6.62,7.86,0,,0.595172908
2020,1,1,7,0,0,6.45,7.66,0,,0.981274233
2020,1,1,8,0,0,6.39,7.72,0,,1.447713731
2020,1,1,9,12.4,5.52,6.45,7.93,0,,1.911261227
2020,1,1,10,32.77,9.06,6.67,8.21,0,,2.257888352
2020,1,1,11,54.82,10.71,6.78,8.34,0,,2.386876422
2020,1,1,12,205.72,10.33,6.76,8.48,0,,2.257888352
2020,1,1,13,34.54,7.97,6.59,8.55,0,,1.911261227
2020,1,1,14,5.31,3.8,6.36,8.41,0,,1.447713731
2020,1,1,15,0,0,6.09,8.07,0,,0.981274233
2020,1,1,16,0,0,5.9,7.86,0,,0.595172908
2020,1,1,17,0,0,5.7,7.72,0,,0.323028597
2020,1,1,18,0,0,5.63,7.79,0,,0.156885875
2020,1,1,19,0,0,5.58,8.55,0,,0.156885875
2020,1,1,20,0,0,5.67,8.41,0,,0.156885875
2020,1,1,21,0,0,5.9,8.07,0,,0.156885875
2020,1,1,22,0,0,5.97,7.79,0,,0.156885875
2020,1,1,23,0,0,6,7.79,0,,0.156885875
2020,1,2,0,0,0,6.06,7.93,0,,0.156885875
2020,1,2,1,0,0,6.08,8.21,0,,0.156885875
2020,1,2,2,0,0,6.11,8.28,0,,0.156885875
2020,1,2,3,0,0,6.18,8.28,0,,0.156885875
2020,1,2,4,0,0,6.27,8.69,0,,0.156885875
2020,1,2,5,0,0,6.33,9.24,0,,0.323028597
2020,1,2,6,0,0,6.34,9.66,0,,0.595172908
2020,1,2,7,0,0,6.19,9.45,0,,0.981274233
2020,1,2,8,0,0,6.15,9.93,0,,1.447713731
2020,1,2,9,13.28,5.57,6.13,10.14,0,,1.911261227
2020,1,2,10,17.71,9.12,6.21,10.41,0,,2.257888352
2020,1,2,11,18.6,10.79,6.28,10.41,0,,2.386876422
2020,1,2,12,19.48,10.43,6.4,10.28,0,,2.257888352
2020,1,2,13,15.06,8.08,6.51,10.48,0,,1.911261227
2020,1,2,14,3.54,3.92,6.54,10.55,0,,1.447713731
2020,1,2,15,0,0,6.64,10.76,0,,0.981274233
2020,1,2,16,0,0,6.59,10.97,0,,0.595172908
2020,1,2,17,0,0,6.55,11.24,0,,0.323028597
2020,1,2,18,0,0,6.54,11.59,0,,0.156885875
2020,1,2,19,0,0,6.32,11.86,0,,0.156885875
2020,1,2,20,0,0,6.39,12.07,0,,0.156885875
2020,1,2,21,0,0,6.5,12.28,0,,0.156885875
2020,1,2,22,0,0,6.65,12.34,0,,0.156885875
2020,1,2,23,0,0,6.74,12.48,0,,0.156885875
2020,1,3,0,0,0,6.84,12.55,0,,0.156885875
2020,1,3,1,0,0,7.01,12.55,0,,0.156885875
2020,1,3,2,0,0,7.26,12.34,0,,0.156885875
2020,1,3,3,0,0,7.55,11.93,0,,0.156885875
2020,1,3,4,0,0,7.86,11.31,0,,0.156885875
2020,1,3,5,0,0,8.06,10.76,0,,0.323028597
2020,1,3,6,0,0,8.2,10.34,0,,0.595172908
2020,1,3,7,0,0,8.23,10.34,0,,0.981274233
2020,1,3,8,0,0,7.96,8.28,0,,1.447713731
2020,1,3,9,72.81,5.62,7.35,7.38,0,,1.911261227
2020,1,3,10,327.91,9.19,7.2,6.21,0,,2.257888352
2020,1,3,11,548.71,10.88,7.29,6.55,0,,2.386876422
2020,1,3,12,620.21,10.53,7.23,7.45,0,,2.257888352
2020,1,3,13,203.2,8.19,7.11,8,0,,1.911261227
2020,1,3,14,130.74,4.04,6.88,8.28,0,,1.447713731
2020,1,3,15,0,0,6.59,8.62,0,,0.981274233
2020,1,3,16,0,0,6.52,9.1,0,,0.595172908
2020,1,3,17,0,0,6.56,9.45,0,,0.323028597
2020,1,3,18,0,0,6.47,9.86,0,,0.156885875
2020,1,3,19,0,0,6.57,10.48,0,,0.156885875
2020,1,3,20,0,0,6.56,11.17,0,,0.156885875
2020,1,3,21,0,0,6.58,11.79,0,,0.156885875
2020,1,3,22,0,0,6.63,12.48,0,,0.156885875
2020,1,3,23,0,0,6.54,13.38,0,,0.156885875
2020,1,4,0,0,0,6.41,13.59,0,,0.156885875
2020,1,4,1,0,0,6.44,13.66,0,,0.156885875
2020,1,4,2,0,0,6.44,13.31,0,,0.156885875
2020,1,4,3,0,0,6.34,12.76,0,,0.156885875
2020,1,4,4,0,0,6.27,12.14,0,,0.156885875
2020,1,4,5,0,0,6.09,12.14,0,,0.323028597
2020,1,4,6,0,0,5.76,12.21,0,,0.595172908
2020,1,4,7,0,0,5.89,13.1,0,,0.981274233
2020,1,4,8,0,0,4.71,11.38,0,,1.447713731
2020,1,4,9,141.21,5.69,4.54,10.62,0,,1.911261227
2020,1,4,10,454.83,9.27,4.97,11.52,0,,2.257888352
2020,1,4,11,323.33,10.97,5.44,11.72,0,,2.386876422
2020,1,4,12,188.52,10.64,5.72,12.21,0,,2.257888352
2020,1,4,13,268.22,8.31,5.71,12.55,0,,1.911261227
2020,1,4,14,137.26,4.17,5.63,12.21,0,,1.447713731
2020,1,4,15,0,0,5.5,11.93,0,,0.981274233
2020,1,4,16,0,0,5.5,12.21,0,,0.595172908
2020,1,4,17,0,0,5.5,11.93,0,,0.323028597
2020,1,4,18,0,0,5.46,11.38,0,,0.156885875
2020,1,4,19,0,0,5.26,10.55,0,,0.156885875
2020,1,4,20,0,0,5.17,9.93,0,,0.156885875
2020,1,4,21,0,0,5.09,8.62,0,,0.156885875
2020,1,4,22,0,0,4.9,6.69,0,,0.156885875
2020,1,4,23,0,0,4.64,5.17,0,,0.156885875
2020,1,5,0,0,0,4.57,5.24,0,,0.156885875
